saleid|itemid|customerid|storeid|time|qty|pricerange
112|92|185|1|30|33|outrageous
177|99|59|14|3|15|outrageous
636|87|130|33|49|40|supercheap 
491|81|2|21|61|25|outrageous
753|117|22|50|87|1|outrageous
538|100|85|31|53|36|outrageous
375|105|185|37|46|22|outrageous
461|99|59|3|67|4|expensive
378|116|2|93|12|7|cheap
266|127|152|61|92|16|moderate
162|68|155|43|67|45|expensive
64|71|194|20|49|12|outrageous
233|82|2|46|42|30|outrageous
946|126|2|44|61|47|outrageous
104|73|2|84|67|38|outrageous
544|95|2|3|67|18|expensive
908|72|187|38|67|11|outrageous
239|110|118|82|30|21|outrageous
659|92|59|65|67|45|outrageous
490|129|119|95|67|38|outrageous
57|95|25|1|78|24|outrageous
940|62|2|90|67|39|outrageous
457|107|2|10|67|7|moderate
106|61|2|2|67|49|outrageous
435|105|161|92|67|43|expensive
153|81|2|83|67|46|supercheap 
772|92|59|63|67|14|outrageous
396|81|2|49|67|49|outrageous
273|108|2|10|67|19|moderate
329|110|174|37|67|7|outrageous
999|140|2|96|91|27|outrageous
133|136|110|83|67|39|moderate
616|64|2|7|67|43|supercheap 
717|120|60|33|67|15|outrageous
532|121|2|30|67|19|outrageous
268|90|42|16|11|14|expensive
880|120|2|88|53|8|moderate
872|115|2|91|67|6|outrageous
240|88|59|96|67|25|outrageous
807|105|9|99|98|1|outrageous
656|104|2|36|67|32|outrageous
456|118|2|53|67|35|moderate
932|135|2|66|67|23|outrageous
813|96|53|83|84|35|supercheap 
487|67|184|2|6|14|outrageous
921|105|66|79|67|5|expensive
270|80|2|73|59|37|outrageous
673|98|130|13|67|28|expensive
688|67|2|23|67|48|outrageous
282|89|2|57|50|5|moderate
572|92|59|91|63|31|cheap
689|92|61|75|84|20|moderate
425|90|23|96|88|1|outrageous
761|108|2|19|41|2|outrageous
526|110|2|23|67|31|outrageous
105|117|40|49|12|30|moderate
738|108|59|84|61|27|outrageous
188|113|25|97|13|16|outrageous
460|130|2|24|53|14|outrageous
129|82|183|78|67|12|outrageous
934|77|2|75|30|41|outrageous
930|132|2|62|67|28|expensive
97|111|2|91|67|38|outrageous
585|111|39|32|80|18|moderate
292|96|123|79|69|16|supercheap 
158|108|191|46|61|3|outrageous
383|86|1|77|67|9|moderate
973|90|2|77|67|25|outrageous
693|96|2|49|46|31|outrageous
467|110|168|83|61|36|outrageous
16|68|2|28|67|27|outrageous
614|74|76|100|67|50|moderate
131|101|2|5|67|31|outrageous
355|88|184|20|67|6|cheap
473|194|100|91|67|1|outrageous
299|109|2|65|67|43|outrageous
683|110|59|23|67|24|outrageous
399|69|12|65|49|41|outrageous
555|131|2|34|67|45|expensive
702|73|85|42|67|33|moderate
506|101|59|10|67|28|outrageous
868|124|2|45|67|15|outrageous
894|124|179|63|67|47|outrageous
259|98|51|50|49|37|outrageous
182|76|2|3|67|47|moderate
547|80|24|92|67|4|outrageous
357|115|2|2|84|15|moderate
80|106|59|23|22|2|supercheap 
942|104|2|72|67|17|supercheap 
453|91|135|84|80|34|outrageous
303|126|42|45|67|40|expensive
571|107|54|57|67|4|cheap
217|99|59|68|89|36|outrageous
50|85|2|100|67|18|outrageous
387|104|59|21|21|20|expensive
890|102|2|50|67|3|outrageous
384|45|169|28|67|33|expensive
247|65|2|75|46|29|expensive
284|119|193|65|100|47|outrageous
8|99|187|85|67|18|outrageous
935|91|103|5|67|50|expensive
466|89|2|25|61|44|outrageous
7|85|2|83|67|13|outrageous
687|105|166|2|67|16|expensive
184|114|2|98|8|12|supercheap 
331|32|2|40|56|5|cheap
272|101|59|25|61|25|outrageous
210|80|51|36|67|4|outrageous
339|135|2|76|67|13|cheap
887|120|2|62|67|29|outrageous
174|90|185|43|67|49|outrageous
534|119|161|25|87|32|outrageous
404|80|70|77|63|20|outrageous
246|97|2|47|61|50|outrageous
594|98|178|93|67|45|supercheap 
451|123|158|60|67|12|outrageous
426|120|59|52|67|27|outrageous
237|132|2|29|49|17|outrageous
486|104|18|51|67|5|expensive
563|110|2|99|49|21|supercheap 
83|82|2|72|1|32|outrageous
782|137|128|94|67|37|outrageous
353|111|59|15|98|23|outrageous
711|135|2|97|89|41|outrageous
518|98|185|79|53|36|outrageous
51|123|5|9|61|33|expensive
554|71|59|86|67|26|moderate
72|102|2|77|61|20|outrageous
264|90|2|19|15|29|expensive
991|12|124|73|80|13|outrageous
793|138|97|72|55|11|outrageous
889|77|2|44|67|16|supercheap 
160|65|2|60|12|5|outrageous
306|127|110|15|67|50|expensive
694|100|199|37|67|19|outrageous
200|120|167|45|46|34|expensive
454|74|111|47|25|33|expensive
631|43|2|90|100|7|supercheap 
430|100|2|64|92|6|outrageous
604|91|59|96|54|30|outrageous
657|116|2|41|67|38|expensive
502|92|185|31|67|40|outrageous
708|168|2|3|22|33|outrageous
611|68|163|85|67|14|outrageous
59|113|5|43|67|3|cheap
690|95|2|76|67|41|outrageous
658|75|2|89|46|43|outrageous
623|110|77|3|67|10|cheap
463|97|59|78|67|31|supercheap 
997|89|2|100|88|37|outrageous
209|97|2|86|67|39|outrageous
588|118|119|79|46|15|supercheap 
519|116|2|63|55|19|outrageous
832|107|185|60|6|8|outrageous
915|97|110|18|67|8|outrageous
899|57|118|70|100|30|outrageous
645|108|2|13|67|14|outrageous
630|94|51|29|61|29|outrageous
603|90|95|59|49|37|outrageous
972|107|21|14|27|5|outrageous
647|117|130|66|71|8|outrageous
225|98|2|55|67|1|outrageous
385|106|195|22|46|13|outrageous
783|86|180|29|67|46|outrageous
790|73|24|71|67|40|expensive
122|119|59|19|42|22|expensive
206|102|161|60|61|37|expensive
931|13|118|20|63|45|supercheap 
929|88|59|20|58|23|outrageous
873|86|2|89|49|5|supercheap 
370|85|59|13|80|19|outrageous
